避 TỊ
著 TRỨ
房 PHÒNG
塚 TRỦNG
勤 CẦN
服 PHỤC
臨 LÂM
測 TRẮC
惑 HOẶC
巨 CỰ
昇 THĂNG
為 VI
停 ĐÌNH
遠 VIỄN
軽 KHINH
兆 TRIỆU
混 HỖN
沖 XUNG
幕 MẠC
賀 HẠ
載 TẢI
創 SÁNG
陣 TRẬN
暴 BẠO
倒 ĐẢO
普 PHỔ
雑 TẠP
築 TRÚC
徳 ĐỨC
季 QUÝ
密 MẬT
浮 PHÙ
令 LỆNH
樹 THỤ
恵 HUỆ
儀 NGHI
邦 BANG
犯 PHẠM
償 THƯỜNG
抑 ỨC
絶 TUYỆT
措 THỐ
爆 BỘC
刊 SAN
繰 SÀO
貴 QUÝ
庭 ĐÌNH
老 LÃO
患 HOẠN
底 ĐỂ
郵 BƯU
旬 TUẦN
損 TỔN
徒 ĐỒ
承 THỪA
恐 KHỦNG
齢 LINH
隆 LONG
誌 CHÍ
択 TRẠCH
居 CƯ
裏 LÍ
駅 DỊCH
卒 TỐT
傷 THƯƠNG
遊 DU
雇 CỐ
併 TÍNH
需 NHU
抱 BÃO
掲 YẾT
更 CANH
緩 HOÃN
描 MIÊU
汚 Ô
招 CHIÊU
欲 DỤC
染 NHIỄM
葬 TÁNG
養 DƯỠNG
絡 LẠC
訳 DỊCH
募 MỘ
複 PHỨC
刻 KHẮC
血 HUYẾT
希 HI
筋 CÂN
契 KHẾ
致 TRÍ
列 LIỆT
迷 MÊ
拠 CỨ
息 TỨC
奏 TẤU
功 CÔNG
草 THẢO
盤 BÀN
板 BẢN
我 NGÃ
射 XẠ
触 XÚC
秀 TÚ
温 ÔN
暮 MỘ
懸 HUYỀN
弱 NHƯỢC
章 CHƯƠNG
撤 TRIỆT
納 NẠP
痛 THỐNG
街 NHAI
笑 TIẾU
栄 VINH
救 CỨU
願 NGUYỆN
探 THÁM
仲 TRỌNG
裕 DỤ
賃 NHẪM
扱 TRÁP
了 LIỄU
枠 <KHUNG>
秘 TẤT
鈴 LINH
巻 QUYỂN
縮 SÚC
折 CHIẾT
逃 ĐÀO
詰 CẬT
雨 VŨ
弾 ĐÀN
宇 VŨ
鳥 ĐIỂU
託 THÁC
堂 ĐƯỜNG
党 ĐẢNG
仏 PHẬT
困 KHỐN
倉 THƯƠNG
互 HỖ
節 TIẾT
絵 HỘI
届 GIỚI
慎 THẬN
慮 LỰ
徴 TRƯNG
端 ĐOAN
肉 NHỤC
枚 MAI
丁 ĐINH
借 TÁ
骨 CỐT
傾 KHUYNH
還 HOÀN
里 LÍ
束 THÚC
伴 BẠN
跡 TÍCH
酒 TỬU
君 QUÂN
奥 ÁO
項 HẠNG
躍 DƯỢC
災 TAI
焼 THIÊU
閉 BẾ
夕 TỊCH
促 XÚC
群 QUẦN
瀬 LẠI
拒 CỰ
縄 THẰNG
銭 TIỀN
律 LUẬT
純 THUẦN
簡 GIẢN
緒 TỰ
贈 TẶNG
陽 DƯƠNG
預 DỰ
夢 MỘNG
燃 NHIÊN
却 KHƯỚC
掛 QUẢI
杉 SAM
揮 HUY
渋 SÁP
称 XƯNG
控 KHỐNG
暫 TẠM
誘 DỤ
依 Ỷ
曜 DIỆU
妥 THỎA
宗 TÔN
殿 ĐIỆN
奪 ĐOẠT
豪 HÀO
紹 THIỆU
敬 KÍNH
貸 THẢI
症 CHỨNG
購 CẤU
顧 CỐ
典 ĐIỂN
犠 HI
仙 TIÊN
飲 ẨM
譲 NHƯỢNG
圏 QUYỂN
診 CHẨN
唱 XƯỚNG
充 SUNG
腐 HỦ
薦 TIẾN
雅 NHÃ
訟 TỤNG
撮 TOÁT
誉 DỰ
片 PHIẾN
刺 THÍCH
勧 KHUYẾN
甲 GIÁP
透 THẤU
携 HUỀ
看 KHÁN
鋼 CƯƠNG
華 HOA
漁 NGƯ
俊 TUẤN
獲 HOẠCH
句 CÚ
祉 CHỈ
薄 BẠC
郡 QUẬN
悩 NÃO
壁 BÍCH
晴 TÌNH
徹 TRIỆT
銃 SÚNG
隠 ẨN
稲 ĐẠO
貯 TRỮ
衝 XUNG
操 THAO
忠 TRUNG
綱 CƯƠNG
剤 TỄ
紛 PHÂN
仮 GIẢ
泉 TUYỀN
駐 TRÚ
芝 CHI
柱 TRỤ
誠 THÀNH
孝 HIẾU
握 ÁC
己 KỈ
潟 TÍCH
免 MIỄN
照 CHIẾU
堀 QUẬT
謝 TẠ
悲 BI
雪 TUYẾT
範 PHẠM
臓 TẠNG
茂 MẬU
揺 DAO
祭 TẾ
貢 CỐNG
兼 KIÊM
析 TÍCH
誤 NGỘ
籍 TỊCH
盗 ĐẠO
暗 ÁM
案 ÁN
冬 ĐÔNG
双 SONG
挑 KHIÊU
戒 GIỚI
沿 DUYÊN
筆 BÚT
敏 MẪN
荷 HÀ
御 NGỰ
邸 ĐỂ
砂 SA
包 BAO
巡 TUẦN
滞 TRỆ
弟 ĐỆ
侵 XÂM
捨 XẢ
塩 DIÊM
荒 HOANG
哲 TRIẾT
裂 LIỆT
埋 MAI
至 CHÍ
誕 ĐẢN
皮 BÌ
堅 KIÊN
勉 MIỄN
袋 ĐẠI
琴 CẦM
喪 TANG
揚 DƯƠNG
襲 TẬP
宝 BẢO
括 QUÁT
飯 PHẠN
娘 NƯƠNG
駆 KHU
抵 ĐỀ
焦 TIÊU
賄 HỐI
快 KHOÁI
克 KHẮC
柳 LIỄU
杯 BÔI
毛 MAO
吸 HẤP
閥 PHIỆT
吹 XÚY
慣 QUÁN
械 GIỚI
隣 LÂN
到 ĐÁO
茶 TRÀ
威 UY
微 VI
翌 DỰC
硬 NGẠNH
騒 TAO
歓 HOAN
洗 TIỂN
仁 NHÂN
柄 BÍNH
臣 THẦN
柔 NHU
妙 DIỆU
慶 KHÁNH
驚 KINH
訓 HUẤN
距 CỰ
歯 XỈ
